,SVM_lin,SVM_RBF,KNN,GNB,GLVQ,LDA,QDA,GP,DT,Percep,MLP,mean,stddev
f1,0.165,0.174,0.042,0.013,0.096,0.020,0.040,0.254,0.003,0.152,0.163,0.102,0.084
gmean,0.187,0.181,0.039,0.051,0.113,0.023,0.064,0.276,0.003,0.202,0.190,0.121,0.090
