Dataset,acc - NS,acc - SS,acc - MM,acc - MA,acc - RS,acc - QT,recall - NS,recall - SS,recall - MM,recall - MA,recall - RS,recall - QT,precision - NS,precision - SS,precision - MM,precision - MA,precision - RS,precision - QT,f1 - NS,f1 - SS,f1 - MM,f1 - MA,f1 - RS,f1 - QT,gmean - NS,gmean - SS,gmean - MM,gmean - MA,gmean - RS,gmean - QT
glass-0-1-6_vs_2-5-fold,0.901,0.906,0.906,0.912,0.917,0.906,0.133,0.000,0.000,0.067,0.117,0.067,0.150,0.000,0.000,0.200,0.300,0.200,0.137,0.000,0.000,0.100,0.167,0.100,0.224,0.000,0.000,0.115,0.214,0.115
ecoli-0-1-4-7_vs_2-3-5-6-5-fold,0.973,0.973,0.973,0.973,0.976,0.973,0.693,0.800,0.760,0.760,0.833,0.793,1.000,0.910,0.927,0.927,0.905,0.898,0.818,0.835,0.828,0.828,0.853,0.831,0.832,0.887,0.868,0.868,0.904,0.883
led7digit-0-2-4-5-6-7-8-9_vs_1-5-fold,0.932,0.926,0.932,0.932,0.932,0.932,0.321,0.182,0.321,0.321,0.321,0.321,0.700,0.567,0.700,0.700,0.700,0.700,0.419,0.264,0.419,0.419,0.419,0.419,0.539,0.362,0.539,0.539,0.539,0.539
ecoli-0-1_vs_5-5-fold,0.983,0.988,0.983,0.983,0.988,0.979,0.800,0.850,0.800,0.800,0.850,0.750,1.000,1.000,1.000,1.000,1.000,1.000,0.876,0.914,0.876,0.876,0.914,0.823,0.888,0.920,0.888,0.888,0.920,0.846
glass-0-1-4-6_vs_2-5-fold,0.898,0.912,0.912,0.912,0.912,0.907,0.050,0.000,0.000,0.000,0.050,0.050,0.200,0.000,0.000,0.000,0.200,0.200,0.080,0.000,0.000,0.000,0.080,0.080,0.100,0.000,0.000,0.000,0.100,0.100
glass2-5-fold,0.892,0.907,0.902,0.883,0.907,0.911,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
ecoli-0-1-4-7_vs_5-6-5-fold,0.973,0.973,0.967,0.967,0.970,0.970,0.680,0.760,0.680,0.680,0.720,0.720,0.960,0.870,0.820,0.820,0.870,0.853,0.754,0.803,0.727,0.727,0.768,0.770,0.801,0.863,0.798,0.798,0.835,0.835
cleveland-0_vs_4-5-fold,0.914,0.947,0.953,0.942,0.954,0.954,0.000,0.433,0.400,0.200,0.533,0.500,0.000,0.700,0.550,0.400,0.850,0.733,0.000,0.500,0.431,0.260,0.605,0.587,0.000,0.570,0.476,0.279,0.709,0.629
ecoli-0-1-4-6_vs_5-5-fold,0.982,0.989,0.989,0.989,0.975,0.982,0.800,0.850,0.850,0.850,0.750,0.750,0.960,1.000,1.000,1.000,0.910,1.000,0.854,0.905,0.905,0.905,0.779,0.838,0.886,0.915,0.915,0.915,0.843,0.856
shuttle-c0-vs-c4-5-fold,0.999,0.999,0.999,1.000,0.999,0.999,0.992,0.992,0.992,1.000,0.984,0.992,1.000,1.000,1.000,1.000,1.000,1.000,0.996,0.996,0.996,1.000,0.992,0.996,0.996,0.996,0.996,1.000,0.992,0.996
yeast-1_vs_7-5-fold,0.937,0.939,0.935,0.935,0.937,0.930,0.033,0.100,0.033,0.033,0.067,0.033,0.200,0.400,0.200,0.200,0.400,0.200,0.057,0.157,0.057,0.057,0.114,0.057,0.082,0.197,0.082,0.082,0.163,0.082
glass4-5-fold,0.967,0.963,0.944,0.944,0.958,0.953,0.567,0.567,0.500,0.567,0.533,0.400,0.900,0.633,0.550,0.583,0.633,0.600,0.673,0.593,0.517,0.570,0.573,0.460,0.734,0.664,0.614,0.726,0.639,0.544
ecoli4-5-fold,0.979,0.979,0.979,0.982,0.982,0.985,0.700,0.750,0.700,0.750,0.800,0.800,0.950,0.910,0.950,0.950,0.910,0.950,0.773,0.804,0.773,0.826,0.833,0.864,0.818,0.858,0.818,0.860,0.885,0.891
