Dataset,acc - NS,acc - SS,acc - MM,acc - MA,acc - RS,acc - QT,recall - NS,recall - SS,recall - MM,recall - MA,recall - RS,recall - QT,precision - NS,precision - SS,precision - MM,precision - MA,precision - RS,precision - QT,f1 - NS,f1 - SS,f1 - MM,f1 - MA,f1 - RS,f1 - QT,gmean - NS,gmean - SS,gmean - MM,gmean - MA,gmean - RS,gmean - QT
yeast-2_vs_4-5-fold,0.860,0.771,0.730,0.648,0.537,0.251,0.389,0.380,0.262,0.593,0.680,0.891,0.324,0.161,0.240,0.205,0.121,0.141,0.349,0.208,0.149,0.279,0.200,0.217,0.574,0.456,0.241,0.598,0.414,0.177
ecoli-0-6-7_vs_3-5-5-fold,0.340,0.471,0.428,0.312,0.477,0.901,0.740,0.800,0.920,1.000,0.830,0.000,0.279,0.113,0.162,0.151,0.184,0.000,0.208,0.198,0.267,0.254,0.272,0.000,0.343,0.405,0.512,0.415,0.477,0.000
ecoli-0-2-3-4_vs_5-5-fold,0.846,0.737,0.792,0.766,0.828,0.604,0.400,0.350,0.150,0.450,0.250,0.600,0.544,0.140,0.060,0.182,0.429,0.097,0.385,0.176,0.078,0.202,0.208,0.165,0.574,0.387,0.194,0.396,0.324,0.340
glass-0-1-5_vs_2-5-fold,0.708,0.737,0.802,0.708,0.708,0.742,0.367,0.300,0.300,0.367,0.367,0.283,0.224,0.221,0.232,0.224,0.224,0.280,0.210,0.204,0.220,0.210,0.210,0.215,0.303,0.375,0.424,0.303,0.303,0.289
yeast-0-3-5-9_vs_7-8-5-fold,0.699,0.709,0.729,0.630,0.731,0.125,0.200,0.480,0.220,0.440,0.300,1.000,0.056,0.217,0.277,0.080,0.172,0.101,0.081,0.239,0.141,0.131,0.157,0.184,0.242,0.512,0.373,0.306,0.297,0.165
yeast-0-2-5-6_vs_3-7-8-9-5-fold,0.915,0.915,0.915,0.915,0.915,0.910,0.253,0.253,0.253,0.253,0.253,0.182,0.703,0.703,0.703,0.703,0.703,0.676,0.367,0.367,0.367,0.367,0.367,0.285,0.493,0.493,0.493,0.493,0.493,0.420
ecoli-0-4-6_vs_5-5-fold,0.946,0.951,0.931,0.956,0.907,0.829,0.750,0.700,0.750,0.700,0.800,0.800,0.743,0.693,0.722,0.693,0.722,0.752,0.731,0.681,0.717,0.681,0.725,0.698,0.834,0.738,0.830,0.738,0.854,0.790
ecoli-0-1_vs_2-3-5-5-fold,0.607,0.792,0.571,0.489,0.661,0.894,0.710,0.450,0.580,0.820,0.820,0.320,0.233,0.558,0.185,0.198,0.351,0.403,0.307,0.337,0.246,0.294,0.443,0.298,0.422,0.455,0.455,0.542,0.678,0.400
ecoli-0-2-6-7_vs_3-5-5-fold,0.580,0.773,0.361,0.623,0.771,0.911,0.690,0.460,1.000,0.900,0.650,0.100,0.214,0.196,0.161,0.278,0.379,0.200,0.250,0.242,0.269,0.402,0.347,0.133,0.519,0.404,0.443,0.641,0.567,0.141
glass-0-4_vs_5-5-fold,0.098,0.789,0.098,0.098,0.454,0.098,1.000,0.800,1.000,1.000,1.000,1.000,0.098,0.611,0.098,0.098,0.454,0.098,0.177,0.621,0.177,0.177,0.499,0.177,0.000,0.600,0.000,0.000,0.400,0.000
