Dataset,acc - NS,acc - SS,acc - MM,acc - MA,acc - RS,acc - QT,recall - NS,recall - SS,recall - MM,recall - MA,recall - RS,recall - QT,precision - NS,precision - SS,precision - MM,precision - MA,precision - RS,precision - QT,f1 - NS,f1 - SS,f1 - MM,f1 - MA,f1 - RS,f1 - QT,gmean - NS,gmean - SS,gmean - MM,gmean - MA,gmean - RS,gmean - QT
yeast5-5-fold,0.974,0.976,0.976,0.978,0.976,0.968,0.336,0.428,0.358,0.386,0.408,0.269,0.647,0.636,0.650,0.753,0.693,0.550,0.411,0.496,0.447,0.493,0.495,0.318,0.554,0.637,0.575,0.608,0.627,0.493
winequality-red-8_vs_6-5-fold,0.973,0.968,0.973,0.973,0.968,0.965,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
ecoli-0-1-3-7_vs_2-6-5-fold,0.986,0.989,0.989,0.989,0.982,0.986,0.700,0.700,0.700,0.700,0.700,0.700,0.633,0.700,0.700,0.700,0.533,0.600,0.660,0.700,0.700,0.700,0.593,0.633,0.738,0.740,0.740,0.740,0.736,0.738
abalone-17_vs_7-8-9-10-5-fold,0.979,0.976,0.976,0.977,0.977,0.977,0.155,0.258,0.086,0.136,0.258,0.227,0.900,0.531,0.667,0.667,0.593,0.653,0.261,0.339,0.149,0.225,0.342,0.316,0.385,0.495,0.294,0.360,0.492,0.463
abalone-21_vs_8-5-fold,0.981,0.988,0.983,0.983,0.986,0.983,0.233,0.633,0.367,0.367,0.567,0.533,0.400,0.800,0.700,0.700,0.833,0.800,0.293,0.700,0.460,0.460,0.653,0.573,0.305,0.782,0.535,0.535,0.745,0.707
yeast6-5-fold,0.978,0.979,0.979,0.976,0.976,0.974,0.143,0.257,0.200,0.057,0.171,0.086,0.567,0.600,0.567,0.300,0.580,0.250,0.223,0.354,0.293,0.094,0.250,0.125,0.333,0.484,0.389,0.151,0.408,0.182
winequality-white-3_vs_7-5-fold,0.978,0.978,0.980,0.980,0.978,0.979,0.000,0.100,0.100,0.100,0.100,0.150,0.000,0.400,0.400,0.400,0.400,0.200,0.000,0.160,0.160,0.160,0.160,0.171,0.000,0.200,0.200,0.200,0.200,0.173
winequality-red-8_vs_6-7-5-fold,0.979,0.979,0.979,0.979,0.975,0.978,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
abalone-19_vs_10-11-12-13-5-fold,0.980,0.980,0.980,0.980,0.980,0.978,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
winequality-white-3-9_vs_5-5-fold,0.982,0.982,0.983,0.983,0.984,0.983,0.000,0.000,0.000,0.000,0.080,0.000,0.000,0.000,0.000,0.000,0.400,0.000,0.000,0.000,0.000,0.000,0.133,0.000,0.000,0.000,0.000,0.000,0.179,0.000
poker-8-9_vs_6-5-fold,0.983,0.983,0.983,0.983,0.983,0.983,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
shuttle-2_vs_5-5-fold,0.983,0.999,0.999,1.000,0.932,1.000,0.124,1.000,0.920,1.000,0.160,1.000,0.210,0.944,1.000,0.980,0.077,1.000,0.154,0.970,0.954,0.989,0.102,1.000,0.220,1.000,0.957,1.000,0.240,1.000
winequality-red-3_vs_5-5-fold,0.984,0.984,0.986,0.987,0.984,0.984,0.000,0.100,0.100,0.100,0.100,0.100,0.000,0.100,0.200,0.200,0.100,0.200,0.000,0.100,0.133,0.133,0.100,0.133,0.000,0.141,0.141,0.141,0.141,0.141
abalone-20_vs_8-9-10-5-fold,0.987,0.986,0.986,0.986,0.986,0.987,0.040,0.307,0.080,0.040,0.233,0.273,0.200,0.533,0.400,0.200,0.533,0.533,0.067,0.378,0.133,0.067,0.303,0.353,0.089,0.546,0.179,0.089,0.476,0.513
poker-8-9_vs_5-5-fold,0.988,0.988,0.988,0.988,0.988,0.988,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
poker-8_vs_6-5-fold,0.988,0.988,0.988,0.988,0.988,0.988,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
abalone19-5-fold,0.992,0.992,0.992,0.992,0.992,0.992,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
total wins,9.817,19.350,11.683,14.183,13.267,13.700,5.117,30.883,6.717,3.550,19.467,16.267,8.867,17.400,13.067,17.067,10.950,14.650,5.617,27.983,8.317,6.317,17.067,16.700,5.617,30.233,5.567,5.067,20.817,14.700
total wins - low,1.167,2.167,2.667,1.167,2.667,1.167,1.167,5.167,1.167,0.167,2.167,1.167,0.167,2.167,3.167,3.167,1.167,1.167,0.167,4.167,1.167,1.167,3.167,1.167,0.167,4.167,0.167,1.167,4.167,1.167
total wins - medium,0.000,3.333,1.833,0.333,1.500,4.000,0.000,4.583,2.583,0.333,1.250,2.250,4.750,1.250,1.083,1.583,0.333,2.000,1.000,3.333,2.333,0.333,2.000,2.000,1.000,3.333,1.833,0.333,2.500,2.000
total wins - high,8.650,13.850,7.183,12.683,9.100,8.533,3.950,21.133,2.967,3.050,16.050,12.850,3.950,13.983,8.817,12.317,9.450,11.483,4.450,20.483,4.817,4.817,11.900,13.533,4.450,22.733,3.567,3.567,14.150,11.533
