,RF,XGBoost,AdaBoost,Bagging,OLA,LCA,MCB,KNORAE,KNORAU,mean,stddev
f1,0.002,0.003,0.005,0.178,0.071,0.102,0.057,0.035,0.098,0.061,0.059
gmean,0.001,0.004,0.005,0.183,0.100,0.108,0.087,0.035,0.106,0.070,0.062
