Dataset,acc - NS,acc - SS,acc - MM,acc - MA,acc - RS,acc - QT,recall - NS,recall - SS,recall - MM,recall - MA,recall - RS,recall - QT,precision - NS,precision - SS,precision - MM,precision - MA,precision - RS,precision - QT,f1 - NS,f1 - SS,f1 - MM,f1 - MA,f1 - RS,f1 - QT,gmean - NS,gmean - SS,gmean - MM,gmean - MA,gmean - RS,gmean - QT
glass5-5-fold,0.967,0.967,0.967,0.967,0.967,0.967,0.400,0.400,0.400,0.400,0.400,0.400,0.400,0.400,0.400,0.400,0.400,0.400,0.400,0.400,0.400,0.400,0.400,0.400,0.400,0.400,0.400,0.400,0.400,0.400
yeast-2_vs_8-5-fold,0.977,0.977,0.977,0.977,0.975,0.977,0.500,0.500,0.500,0.500,0.450,0.500,0.950,0.950,0.950,0.950,0.750,0.950,0.630,0.630,0.630,0.630,0.550,0.630,0.697,0.697,0.697,0.697,0.597,0.697
yeast4-5-fold,0.966,0.966,0.966,0.966,0.966,0.967,0.120,0.120,0.120,0.120,0.140,0.156,0.500,0.500,0.500,0.500,0.500,0.700,0.162,0.162,0.162,0.162,0.192,0.223,0.252,0.252,0.252,0.252,0.278,0.337
winequality-red-4-5-fold,0.964,0.964,0.964,0.964,0.964,0.966,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
poker-9_vs_7-5-fold,0.971,0.971,0.971,0.971,0.971,0.971,0.100,0.100,0.100,0.100,0.100,0.100,0.200,0.200,0.200,0.200,0.200,0.200,0.133,0.133,0.133,0.133,0.133,0.133,0.141,0.141,0.141,0.141,0.141,0.141
yeast-1-2-8-9_vs_7-5-fold,0.967,0.966,0.966,0.966,0.967,0.967,0.133,0.100,0.100,0.100,0.133,0.100,0.333,0.267,0.267,0.267,0.333,0.300,0.189,0.144,0.144,0.144,0.189,0.150,0.278,0.197,0.197,0.197,0.278,0.197
abalone-3_vs_11-5-fold,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
winequality-white-9_vs_4-5-fold,0.976,0.976,0.976,0.976,0.976,0.976,0.200,0.200,0.200,0.200,0.200,0.200,0.200,0.200,0.200,0.200,0.200,0.200,0.200,0.200,0.200,0.200,0.200,0.200,0.200,0.200,0.200,0.200,0.200,0.200
yeast5-5-fold,0.982,0.983,0.982,0.982,0.982,0.984,0.586,0.586,0.586,0.586,0.586,0.586,0.768,0.785,0.768,0.768,0.768,0.806,0.656,0.664,0.656,0.656,0.656,0.673,0.758,0.758,0.758,0.758,0.758,0.759
winequality-red-8_vs_6-5-fold,0.973,0.973,0.973,0.973,0.973,0.973,0.100,0.100,0.100,0.100,0.100,0.100,0.300,0.300,0.300,0.300,0.300,0.300,0.147,0.147,0.147,0.147,0.147,0.147,0.200,0.200,0.200,0.200,0.200,0.200
