,NS,SS,MM,MA,RS,QT
Percep,4.5122,2.5549,3.5610,3.6098,3.2012,3.5610
Bagging,4.6585,2.5061,3.5671,3.9512,3.0244,3.2927
OLA,3.7927,3.1280,3.0915,3.7378,3.7134,3.5366
LCA,4.4268,2.7500,3.4512,3.9207,3.1524,3.2988
MCB,3.9939,3.3476,3.1707,3.4085,3.6341,3.4451
KNORAE,3.5000,3.3293,3.3110,3.9207,3.5000,3.4390
KNORAU,4.2805,2.7866,3.4268,3.7988,3.1707,3.5366
